dataset,fold,model,Accuracy,F1,ROC-AUC,PR-AUC,SPD,DIR,EOD,A_flip_prob_rate,A_flip_class_rate
acs_employment_ca_2018,5,XGBoost+RW,0.8128333333333333,0.8098865752497038,0.8921756806765458,0.8451797352731047,0.01925387783128807,0.9644030668127052,0.014626442070763135,0.0,0.0
acs_employment_ca_2018,6,LogisticRegression,0.7696666666666667,0.7649659863945578,0.8482769604900262,0.7776356809542909,0.025698466529529673,0.9519367801679582,0.030225435341057816,0.0,0.08933333333333333
acs_employment_ca_2018,6,XGBoost,0.8101666666666667,0.8043963592649837,0.8951109946757322,0.845918024562949,0.005284196372800087,0.9898065584821728,0.01663129358974136,0.0,0.0
acs_employment_ca_2018,6,XGBoost+RW,0.8123333333333334,0.8065292096219931,0.8948869847547809,0.8452828890642317,0.0054026300212246525,0.989569488860757,0.019850271911058037,0.0,0.0006666666666666666
acs_employment_ca_2018,7,LogisticRegression,0.7656666666666667,0.7628205128205128,0.8421282758507919,0.7685582541928179,0.04074642605674572,0.9269297710573647,0.03650699748636688,0.0,0.058
acs_employment_ca_2018,7,XGBoost,0.819,0.8144858216604032,0.8979007160160072,0.8536582906379042,0.04240662887039337,0.9223783122826159,0.059294517675389735,0.0,0.0
acs_employment_ca_2018,7,XGBoost+RW,0.8198333333333333,0.8154975251749446,0.8978617406252705,0.853517931289366,0.04528665647540797,0.9175007739802196,0.059385273439790054,0.0,0.0
acs_employment_ca_2018,8,LogisticRegression,0.7668333333333334,0.7621961584225735,0.8439494793817383,0.764957330966578,0.00909802400754256,0.9828525878689011,0.01497047011575714,0.0,0.07216666666666667
acs_employment_ca_2018,8,XGBoost,0.815,0.8107094133697135,0.8977659261230427,0.851292240159728,0.020586826061237073,0.9614805720272421,0.02796361918261281,0.0,0.0005
acs_employment_ca_2018,8,XGBoost+RW,0.8158333333333333,0.811529933481153,0.8977597662193346,0.851266688193639,0.020858712956288716,0.9609718521478627,0.02572508471926238,0.0,0.0013333333333333333
acs_employment_ca_2018,9,LogisticRegression,0.7773333333333333,0.775084175084175,0.8465076873918307,0.7738103632556249,0.029505525329249105,0.945950574993883,0.031638694620439056,0.0,0.09233333333333334
acs_employment_ca_2018,9,XGBoost,0.8238333333333333,0.8211808492640839,0.9000717460784653,0.8559169153155185,0.01670838568715005,0.9688347132218407,0.014951796189118682,0.0,0.00016666666666666666
acs_employment_ca_2018,9,XGBoost+RW,0.8245,0.8219780219780219,0.9003064384097548,0.8562951863443619,0.01849774970368634,0.965584277711484,0.017510396516481702,0.0,0.0003333333333333333
acs_employment_ca_2018,10,LogisticRegression,0.7801666666666667,0.776856707832854,0.8515490734053629,0.7702878687173249,0.006087305853290315,0.9885912106427043,0.030097688792643407,0.0,0.064
acs_employment_ca_2018,10,XGBoost,0.8141666666666667,0.8092386655260907,0.8944751425151117,0.8450704758379499,0.0071857459372700605,0.9862667158238358,0.04129080304546051,0.0,0.00016666666666666666
acs_employment_ca_2018,10,XGBoost+RW,0.8138333333333333,0.8090924628268672,0.8946089884428802,0.8458123359281794,0.0034465547562548826,0.9933967079525668,0.0401205280308321,0.0,0.0003333333333333333
acs_employment_ca_2018,11,LogisticRegression,0.7751666666666667,0.7697559310462536,0.8487001712331835,0.7715778162111098,0.004549679895734626,0.9913001126283981,0.004469700689786804,0.0,0.06866666666666667
acs_employment_ca_2018,11,XGBoost,0.8208333333333333,0.8150696714261139,0.9007869580527983,0.8563121970648142,0.015079534166582254,0.9711474176229685,0.04272771965116129,0.0,0.0
acs_employment_ca_2018,11,XGBoost+RW,0.8203333333333334,0.8146492434662999,0.9010334249683251,0.8567760227439831,0.014952821258818916,0.9714130124315622,0.039643688262223975,0.0,0.0
acs_employment_ca_2018,12,LogisticRegression,0.766,0.765295887662989,0.8403074083145933,0.7662286776877207,0.007067866894980179,0.9870505202166132,0.01642343107455746,0.0,0.08666666666666667
acs_employment_ca_2018,12,XGBoost,0.817,0.8135823429541595,0.8954951616196335,0.8482055876980371,0.017556354157785226,0.9672978069775223,0.010931633291614506,0.0,0.0011666666666666668
acs_employment_ca_2018,12,XGBoost+RW,0.8166666666666667,0.8127978216473791,0.8955982000089375,0.849064658722501,0.024188114408536632,0.9550874173126301,0.0173218755587341,0.0,0.0
acs_employment_ca_2018,13,LogisticRegression,0.7646666666666667,0.7612445045654379,0.8417412099014068,0.7706635858568407,0.004027541644724297,0.9924385520907084,0.0037362966769441397,0.0,0.07566666666666666
acs_employment_ca_2018,13,XGBoost,0.8133333333333334,0.809134287661895,0.8943933228435773,0.8485077428750197,0.005950377056556211,0.9886908610256249,0.005955949526093407,0.0,0.0006666666666666666
acs_employment_ca_2018,13,XGBoost+RW,0.8125,0.8081841432225064,0.8944298342728306,0.8482713967649269,0.00887473321801946,0.9831743787432139,0.00934609455292909,0.0,0.0
acs_employment_ca_2018,14,LogisticRegression,0.7673333333333333,0.7625042531473291,0.8400774199097719,0.7677841825516095,0.009162944011805507,0.9827065563720854,0.019143327054569503,0.0,0.0885
acs_employment_ca_2018,14,XGBoost,0.8201666666666667,0.8150814053127677,0.8976843353984689,0.8544253925063208,0.024961798460993445,0.9531220305901541,0.03137327038240645,0.0,0.0003333333333333333
acs_employment_ca_2018,14,XGBoost+RW,0.8191666666666667,0.8141805103613633,0.8976617677512466,0.8541973459906288,0.025302416073377132,0.9525605729916435,0.030412655588938575,0.0,0.0
